subject,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015
R-01,Yes,Yes,No,Yes,No,No,Yes,1995,Very Good,3,69,165,80,0,9
R-02,No,No,Yes,No,Yes,Yes,No,1986,Excellent,22,68,164,60,0,7
R-03,Yes,Yes,Yes,Yes,Yes,No,No,1993,Excellent,16,68,161,76,5,7.75
R-04,Yes,Yes,No,Yes,Yes,No,No,1996,Very Good,14,68,120,60,2,7
R-05,Yes,Yes,No,Yes,No,Yes,No,1980,Very Good,60,67,140,80,0,8
R-06,Yes,Yes,No,No,No,Yes,No,1983,Excellent,28,67,170,56,5,7.75
R-07,No,Yes,Yes,Yes,No,No,No,1994,Fair,72,61,150,88,0,6
R-08,No,Yes,No,No,Yes,No,No,1999,Very Good,20,70,170,72,2,9
R-09,No,No,No,No,No,Yes,No,1984,Very Good,60,71,160,70,5,6
R-10,No,No,Yes,Yes,No,Yes,No,1989,Good,3,64,112,67,1,6
R-11,Yes,Yes,Yes,Yes,No,Yes,No,1988,Very Good,4,66,163,60,1,7
R-12,Yes,Yes,No,Yes,Yes,Yes,Yes,1992,Very Good,15,71,170,75,2,7
R-13,Yes,Yes,No,Yes,Yes,Yes,No,1992,Very Good,34,77,189,74,4,9
R-14,No,Yes,No,Yes,Yes,No,No,1996,Very Good,14,70,180,60,1,0
R-15,No,No,No,No,Yes,Yes,Yes,1995,Fair,26,72,150,104,2,7
R-16,Yes,Yes,Yes,Yes,Yes,No,No,1996,Very Good,15,66,135,76,3,8
R-17,Yes,Yes,No,Yes,No,No,No,1994,Excellent,226,72,165,68,3,8
R-18,Yes,Yes,No,Yes,Yes,No,No,1996,Very Good,15,69,140,76,3,8
R-19,No,No,Yes,Yes,Yes,No,No,1994,Fair,3,65,121,80,1,6
R-20,Yes,Yes,No,Yes,No,Yes,No,1987,Excellent,28,71,162,70,3,8
R-21,Yes,Yes,Yes,Yes,Yes,No,No,1994,Very Good,28,64,120,80,0,7
R-22,No,No,No,No,No,No,No,1994,Excellent,3,70,143,68,3,8
R-23,Yes,Yes,No,Yes,No,No,No,1996,Very Good,46,71,175,51,0,10.75
R-24,Yes,Yes,No,Yes,No,No,No,1991,Very Good,108,75,175,60,4,5
R-25,Yes,Yes,Yes,No,No,Yes,No,1993,Excellent,27,70,165,62,4,7
R-26,Yes,Yes,Yes,Yes,Yes,No,No,1991,Good,110,67,150,73,0,6
